smiles,tc,dc
CCC(=C)C=C,5.276e+02,2.469e-01
CC(=C)C(=C)C,5.399e+02,2.469e-01
CCCCC=C,5.013e+02,2.382e-01
CCC/C=C/C,5.059e+02,2.377e-01
CCC/C=C\C,5.135e+02,2.378e-01
CC/C=C/CC,5.062e+02,2.367e-01
CCCC(=C)C,5.115e+02,2.408e-01
CC(C=C)CC,4.926e+02,2.403e-01
C=CCC(C)C,4.946e+02,2.396e-01
C/C=C/C(C)C,5.015e+02,2.372e-01
C/C=C\C(C)C,5.052e+02,2.396e-01
CCC=C(C)C,5.209e+02,2.384e-01
CC/C(=C\C)/C,5.162e+02,2.448e-01
CC/C(=C/C)/C,5.171e+02,2.433e-01
CC(=C)C(C)C,5.053e+02,2.405e-01
CC(=C(C)C)C,5.463e+02,2.418e-01
C=CC(C)(C)C,4.813e+02,2.423e-01
CCC(=C)CC,5.112e+02,2.395e-01
C1=CC=CC=CC1,6.380e+02,3.000e-01
Cc1ccccc1,5.844e+02,2.913e-01
C1CC=CC=CC1,6.212e+02,2.889e-01
CC=CC=CC=C,5.659e+02,2.495e-01
CC1=CCCC=C1,6.207e+02,2.806e-01
CC1=CCC=CC1,6.017e+02,2.788e-01
CC1=CC=CCC1,6.142e+02,2.774e-01
CC1=CCCCC1,5.847e+02,2.727e-01
CC1CCCC=C1,5.734e+02,2.733e-01
CC1CCC=CC1,5.688e+02,2.728e-01
C1CCC=CCC1,5.994e+02,2.781e-01
CC/C=C/CC=C,5.348e+02,2.443e-01
C=CCC/C=C/C,5.380e+02,2.451e-01
C=CCCCC=C,5.384e+02,2.454e-01
CC/C=C/C=C/C,5.583e+02,2.425e-01
C=CCCC(=C)C,5.511e+02,2.435e-01
C/C=C/C=C(C)C,5.724e+02,2.455e-01
CC(=CC(=C)C)C,5.683e+02,2.500e-01
C=C1CCCCC1,5.778e+02,2.703e-01
CCCCCC=C,5.352e+02,2.395e-01
CCCC/C=C/C,5.365e+02,2.405e-01
CCCC/C=C\C,5.454e+02,2.406e-01
CCC/C=C/CC,5.326e+02,2.400e-01
CCC/C=C\CC,5.400e+02,2.416e-01
CCCCC(=C)C,5.469e+02,2.402e-01
